system:index,idx,lat,lon,.geo
14,14,21.967667084998368,-102.21075787617023,"{""type"":""Polygon"",""coordinates"":[[[-102.21572241620304,21.962012736357686],[-102.20579333611988,21.962012736357686],[-102.20579333611988,21.973321434438382],[-102.21572241620304,21.973321434438386],[-102.21572241620304,21.962012736357686]]]}"
15,15,22.308270147103283,-100.9308964912262,"{""type"":""Polygon"",""coordinates"":[[[-100.939272801125,22.30478100683776],[-100.92252018130799,22.304781006837757],[-100.92252018130797,22.311758915404102],[-100.939272801125,22.311758915404106],[-100.939272801125,22.30478100683776]]]}"
16,16,24.05108459650302,-98.41192249175184,"{""type"":""Polygon"",""coordinates"":[[[-98.41466616275262,24.048599100526715],[-98.40917882079815,24.04859910052672],[-98.40917882079815,24.053570075552734],[-98.41466616275261,24.053570075552734],[-98.41466616275262,24.048599100526715]]]}"
17,17,21.056830441504772,-104.44293546583154,"{""type"":""Polygon"",""coordinates"":[[[-104.4453460315565,21.054164938423423],[-104.44052490015093,21.054164938423423],[-104.44052490015093,21.05949594248186],[-104.4453460315565,21.05949594248186],[-104.4453460315565,21.054164938423423]]]}"
18,18,21.181359859061345,-101.99729692291105,"{""type"":""Polygon"",""coordinates"":[[[-102.00071651053376,21.179251038291632],[-101.99387733523578,21.179251038291632],[-101.9938773352358,21.18346863128308],[-102.00071651053376,21.18346863128308],[-102.00071651053376,21.179251038291632]]]}"
19,19,20.916664651914353,-101.5256213881683,"{""type"":""Polygon"",""coordinates"":[[[-101.52779106639608,20.914919490579898],[-101.52345170989996,20.914919490579898],[-101.52345170989996,20.918409799330483],[-101.52779106639608,20.918409799330483],[-101.52779106639608,20.914919490579898]]]}"
20,20,20.67698675367154,-100.49077161445422,"{""type"":""Polygon"",""coordinates"":[[[-100.49696997063405,20.671390734379138],[-100.48457325825724,20.67139073437914],[-100.48457325825724,20.682582688914756],[-100.49696997063405,20.68258268891476],[-100.49696997063405,20.671390734379138]]]}"
21,21,20.469906289192807,-100.64385551227852,"{""type"":""Polygon"",""coordinates"":[[[-100.64566577459843,20.468027967286893],[-100.64204525011833,20.468027967286893],[-100.64204525011833,20.471784607653802],[-100.64566577459843,20.471784607653802],[-100.64566577459843,20.468027967286893]]]}"
22,22,20.138602973586625,-99.83992086905927,"{""type"":""Polygon"",""coordinates"":[[[-99.84269672650602,20.13654122965864],[-99.83714501153518,20.13654122965864],[-99.83714501153518,20.14066469233138],[-99.84269672650602,20.14066469233138],[-99.84269672650602,20.13654122965864]]]}"
23,23,20.06167428280467,-99.2590730426778,"{""type"":""Polygon"",""coordinates"":[[[-99.26196691739882,20.059425526663066],[-99.25617916803466,20.059425526663066],[-99.25617916803466,20.06392301343954],[-99.26196691739881,20.063923013439535],[-99.26196691739882,20.059425526663066]]]}"
